product_name,categories,brands,quantity,packaging,labels,ingredients_text,nutriments_energy_kcal,nutriments_fat,nutriments_saturated_fat,nutriments_carbohydrates,nutriments_sugars,nutriments_proteins,nutriments_fiber,nutriments_salt,nutriments_sodium,nutrition_grade,price
Avena crunchy,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals",Hacendado,400 g,,"Source of fibre,Green Dot,High fibres,es:Recicla azul,pt:ecoponto-amarelo,pt:ecoponto-azul","Harina integral de avena 85 % (_gluten_) ,sémola de maíz, azúcar, sal, tocoferoles.",390,5.8,1,66,4.6,13,11,0.2,0.08,a,
Bran Flakes Malty Crunch,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Céréales extrudées,Flocons extrudés,Pétales de blé,Céréales pour petit déjeuner riches en fibres",Tesco,750g,Carton; bag,Végétarien,"Wholegrain _Wheat_ (69%), _Wheat_ Bran (20%), Sugar, _Barley_ Malt Extract, Salt, Iron, Vitamin E, Niacin, Pantothenic Acid, Vitamin B12, Vitamin D. Thiamin, Folic Acid, Riboflavin, Vitamin B6.",352,2.5,0.5,63.9,10.2,10.6,15.7,0.59,0.236,a,
Simply Delicious Muesli,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Cereals with fruits, Mueslis, Mueslis with fruits",Dorset Cereals,650g,"en:card-box, en:hdpeFilm-packet","Vegetarian, Vegan, No added sugar","Wholegrain oat flakes, wholegrain wheat flakes, dried fruit (20%) [raisins, sultanas, chopped dates (4%)], barley flakes, wholegrain toasted wheat flakes, sunflower seeds (4.5%), nuts (2%) [chopped brazil nuts (1%), roasted whole hazelnuts].",368,7.3,1.1,70.5,14.7,9.6,9,0.03,0.012,b,
Simply Fruity muesli,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Cereals with fruits, Mueslis, Mueslis with fruits",Dorset cereals,630g,Card-box,"Vegetarian,Source of fibre,Vegan,High fibres,Vegetarian Society Approved,Kosher LBD,Kosher","Dried fruit [sweetened dried papaya (9%) (papaya, sugar, acidity regulator (citric acid), preservative (sulphur dioxide)), sultanas (9%), raisins (7%), sweetened dried pineapple (3.5%) (pineapple, sugar, acidity regulator (citric acid), preservative (sulphur dioxide))], barley flakes, wholegrain wheat flakes, wholegrain oat flakes, wholegrain toasted and malted wheat flakes (wheat, barley malt extract).",349,2.89,0.667,68.4,20,8.67,7.33,0.0444,0.0178,b,
Bran Flakes,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Céréales extrudées,Flocons extrudés,Pétales de blé,Céréales pour petit déjeuner riches en fibres",Kellogg's,750 g,"Card-box, Ldpe-bag",Kascher,"Wholewheat (59%), wheat bran (18%), wholewheat flour, sugar, barley malt extract, glucose syrup, salt, natural flavouring, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12",358,2.2,0.4,65,14,11,17,0.66,0.264,b,
Fitness Nature Céréales complètes,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Céréales extrudées,Flocons extrudés,Pétales multicéréales,Céréales pour petit déjeuner riches en fibres",Nestle,475 g,"Boîte en carton,Sachet plastique","Sans arômes artificiels,Source de fibres alimentaires,Fabriqué en France,Sans colorants,Nutriscore,Nutriscore A,Blé français,Triman, Végétarien","BLE complet 61.1%, riz 34.5%, sucre, fructo-olligosaccharides, sirop de sucre inverti, carbonate de calcium, extrait de malt d'ORGE (ORGE, ORGE malté), huile de tournesol, sel, mélasse, arômes naturels, fer, antioxydant : extrait riche en tocophérols ; vitamines B5, B3, B2, B9 et B6. Peut contenir du LAIT et FRUITS A COQUE.",368,1.5,0.6,74.7,8.3,9.8,8.5,0.56,0.224,a,
Muesli Croustillant Noix de pécan & noix du Brésil,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Mueslis, Céréales aux fruits à coques, Mueslis aux fruits à coque","Muesli Croustillant, Quaker",500 g,"Plastic,Box,fr:Sachet en plastique","Sans conservateurs, Point Vert, Sans colorants, Nutriscore, Nutriscore A","Avoine complète (60%), sirop de glucose, sucre, oligofructose, pétales de blé (4%) (farine et son de blé, sucre, sirop de Sucre, extrait de malt d'orge, sel), pétales d'orge (3%) [orge, sucre, sel, extrait de malt d'orge, émulsifiant (mono - et diglycérides d'acides gras)], mélasse, graine de courge (2,4%), noix du Brésil (2,3%), noix de pécan (2,2%), huile de tournesol, arômes, antioxydant (tocopherol). Peut contenir des traces de lait.",420,11,1.8,62,13,11,13,0.24,0.096,b,
Granola,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals",Jordan’s,750g,en:mixed plastic film-packet,"Vegetarian, No palm oil, The Wildlife Trusts","Wholegrain OAT Flakes (81%), Sugar, Vegetable Oil (rapeseed and sunflower in varying proportions), Honey (1%), Sunflower Seeds, Natural Flavouring.",418,11,1.5,66,17,11,6.3,0.03,0.012,c,
Malted Wheaties,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals",Harvest Morn,625g,"card-box to recycle, 1 plastic bag to recycle at recycling point","Source of fibre,High fibres,FSC Mix","wholegrain wheat (98%), sugar, inverted sugar syrup, barley malt extract, salt, iron, niacin, pantothenic acid, folic acid, thiamin, riboflavin, vitamin b6, vitamin b12,",370,1.8,0.2,70,10.9,11.7,13.3,0.27,0.108,a,
Special Flakes Classic,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Céréales extrudées,Flocons extrudés,Pétales multicéréales,Céréales pour petit déjeuner riches en fibres",Crownfield,500 g,"Non-corrugated cardboard,Ecoponto Azul,Point vert,fr:Sachet en plastique,fr:Étui en carton","Low or no fat, Low fat, Source of fibre, FSC, Green Dot, High fibres, Made in Germany, Nutriscore, Nutriscore Grade A, PEFC, en:vegan","62% Shredded Wholegrain Wheat, Rice, Sugar, Barley Malt Extract, Salt.",388,1.8,0.4,79.5,8.8,9,8.2,0.51,0.204,a,
Scott's Porage Oats Original 1000g,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Porridge, Rolled oats, Plain porridge",Scott,1 kg,Card-box,"Vegetarian, Vegan",100% Rolled Oats,374,8,1.5,60,1,11,9,,,unknown,
Rice Krispies,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals",Kellogg’s,430g,,"Kosher, en:vegetarian","(EN) TOASTED RICE CEREAL FORTIFIED WITH VITAMINS AND IRON. INGREDIENTS: Rice, sugar, salt, barley malt extract, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. May contain gluten from other cereals.",389,1.2,0.4,86,7.9,7,2.9,1,0.4,c,
"Low Sugar, Naturally Gut-Loving Granola","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Breakfast cereals fortified with vitamins and chemical elements,Breakfast cereals rich in fibre,Breakfast cereals rich in fibre fortified with vitamins and chemical elements,Granolas",Bio & Me,360g,"1 cardboard box to recycle, 1 plastic bag to recycle or throw away","Vegetarian,Source of fibre,Vegan,High fibres","Wholegrain Oats (48%), Seeds (10%) (Sunflower, Pumpkin, Brown Linseed, Chia (Salvia Hispanica), Nuts (8%) (Walnuts, Almonds), Vegetable Fibres (Chickpea, Maize), Chicory Root Fibre, Extra Virgin Olive Oil, Puffed Sorghum, Dates, Coconut, Quinoa, Dried Carrot, Puffed Lentils, Natural Flavourings.",447,17.9,3.7,49.7,7.9,13.2,17,0.06,0.024,a,
Oat flakes,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Flocons laminés,Flocons d'avoine",Carrefour,500 g,"fr:1 boîte en carton à recycler,fr:1 sachet en papier à jeter","Source de fibres alimentaires,Riche en fibres,Fabriqué en Allemagne,Nutriscore,Nutriscore A,Triman","100% wholegrain oat flakes,",372,7,1.3,59,0.7,14,10,0,0,a,
Shreddies,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals",Nestle,630g,"Card-box, Ldpe-packet","Vegetarian, Vegan, The Vegan Society","whole grain wheat (96%), sugar, invert sugar syrup, barley malt extract, salt, molasses, vitamins and minerals (niacin, iron, pantothenic acid, folic acid, vitamin b6, riboflavin),",364,1.8,0.3,70,13,11,12,0.72,0.288,b,
,"Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Pequenos alomoços,Cereais e Batatas,Cereais e seus produtos,Cereias para pequeno-almoçco,Cereais de chocolate,en:Extruded cereals","Cookie Crisp,Nestlé",375 g,"Plastic,Bag,Box,Cardboard","Sem sabores artificiais,Ponto Verde,Sem cores artificiais,Sem corantes nem aromas artificiais,Nutriscore,Nutri-Score grau C,Triman,es:Recicla amarillo,es:Recicla azul","Farine de _blé_ complet 35,3 %, semoule de maïs, sucre, sirop de glucose, amidon de _blé_, huile de tournesol, carbonate de calcium, cacao maigre en poudre * 1,7%, farine de _blé_, sel, poudre à lever : carbonates de sodium ; arôme naturel, antioxydant : extrait riche en tocophérols ; fer, vitamines B3, B5, D, B9, B6, B2.",393,5.2,0.9,78,22.4,6.7,6,0.66,0.264,b,
Bran Flakes,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Extruded cereals, Extruded flakes, Breakfast cereals rich in fibre, Extruded wheat flakes","Crownfield, Lidl",500 g,"Plastic, Bag, Cardboard, Non-corrugated cardboard, Card-box","Vegetarian, No artificial flavors, No artificial preservatives, Source of fibre, Green Dot, High fibres, No artificial colors, No artificial colours or flavours, en:nutriscore","80% Shredded Wholegrain Wheat, 16% Wheat Bran, Sugar, Barley Malt Extract, Salt, Honey.",362,2,0.5,66.2,13.2,11.1,17.2,0.63,0.252,b,
Avena Crunchy Cacao,"Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Pequenos alomoços,Cereais e Batatas,Cereais e seus produtos,Cereias para pequeno-almoçco,en:Extruded cereals",Hacendado,400 g,,"Source of fibre,Rico em fibras,es:Recicla amarillo,es:Recicla azul","Cereales [harina integral de _avena_ (_gluten_) (76%), sémola de maíz], cacao en polvo (5,7%), azúcar, cacao magro en polvo (0,5%), sal, aroma natural, antioxidante: extracto rico en tocoferoles.",393,6.4,1.6,65,9,13,11,0.18,0.072,a,
Flocons d'avoine complète,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Flocons laminés,Flocons d'avoine",Quaker Oats,800 g,"Point vert,Sec,Étui,Sachet,Carton,Plastique","Sans conservateurs,Source de fibres alimentaires,100% naturel,Point Vert,Riche en fibres,Réduit le cholesterol,Sans sucre ajouté,Nutriscore,Nutriscore A,Triman",100% oatmeal,375,8,1.5,60,1.1,11,9,0.01,0.004,a,
Corn Flakes,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Extruded cereals, Extruded flakes, Corn flakes",Kellogg's,500g,,"No artificial flavors, No artificial colors, No artificial colours or flavours","Maize, barley malt extract, sugar, salt, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12.",378,0.9,0.2,84,8,7,3,1.1,0.44,d,
Cheerios Multigrain,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Extruded cereals","Cheerios,Nestle",540 g,"Card-box, Hdpe film-bag",Vegetarian,"whole grain oat flour (29,6%), whole grain wheat (29,6%), whole grain barley flour (17,9%), sugar, wheat starch, invert sugar syrup, whole grain maize flour (2,1%), whole grain rice flour (2,1%), molasses, calcium carbonate, sunflower oit, salt, colours: carotene, annatto norbixin, caramelised sugar syrup, antioxidant: tocopherols, iron, vitamin c, b3, b5, b9, d, b6, b2, allergy advice:      for allergens, including cereals containing gluten, see ingredients in bold, may also contain nuts,",383.3333,4.6667,1,71.3333,10,9.3333,2.7,0.83333,0.333332,c,
Corn Flakes,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Extruded cereals,Extruded flakes,Corn flakes",Kelloggs,,,"Vegetarian,Kosher","Maize, barley malt extract, sugar, salt, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12.",378,0.9,0.2,84,8,7,3,1.1,0.44,d,
"Muesli con quinoa, chía y chocolate negro","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate",Hacendado,400 g,,en:green-dot,"Muesli crocante com quinoa (45%) [flocos integral laminados (24%) (aveia (18%), cevada (3%), trigo (3%)), açúcar, quinoa tufada (4,5%), óleo de girassol, xarope de glicose-frutose, coco ralado seco, sal, antioxidante: extrato rico em tocoferóis], pedaços de chocolate preto (15%) (pasta de cacau, açúcar, emulsionante: lecitinas), flocos de aveia integral laminados (15%), flocos de centeio integral laminados (8%), flocos de cevada integral laminados (7%), flocos de trigo torrados integral (5%) (trigo integral, açúcar, farelo de trigo, extracto de malte de cevada, sal), sementes de chia (Salvia hispanica) (5%). Contém vestígios de amendoins, frutos de casca rija, produtos de soja, leite e sementes de sésamo.",416,13,4.3,60,18,9.8,10,0.11,0.044,c,
Wheat Biscuits,"Plant-based foods and beverages, Plant-based foods, Snacks, Breakfasts, Cereals and potatoes, Sweet snacks, Cereals and their products, Biscuits and cakes, Breakfast cereals, Biscuits",By Sainsbury's,,,"Vegetarian, Vegan","British Wholegrain Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Vitamin B2 (Riboflavin), Vitamin B1 (Thiamin), Folic Acid.",358,2,0.6,68.1,4.4,12,10,0.28,0.112,a,
Nutty Granola,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,crunchy mueslis",Deliciously Ella,380g,,"Vegetarian, No gluten, No artificial flavors, No preservatives, Vegan, No additives, No artificial colors, No artificial colours or flavours, en:certified-gluten-free","Gluten free oats (60%), chicory fibre syrup, mixed nuts (13%) (cashews (6%), almonds (4%), hazelnuts (3%)), date syrup, rapeseed oil, maple syrup (4%), sunflower seeds (3%). orange juice (3%), pumpkin seeds (2%)",451,18,2.67,60,14.2,11.6,13.1,0.0222,0.00889,c,
,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Mueslis",Weetabix,550g,Card-box,en:nutriscore,"Wholegrain Wheat (39%). Wholegrain Rolled Oats (37%), Raisins (12%), Sugar, Skimmed Milk Powder, Milk Whey Powder, Roasted Sliced Nuts (2.0%) (Hazelnuts, Almonds), Salt.",374,5.6,0.9,66,21,11,7.7,0.25,0.1,c,
Crunchy Oat Granola Raisin & Almond,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Breakfast cereals rich in fibre,Granola",Jordan,750g,Mixed plastic-bag,"The Wildlife Trusts,No palm oil,Vegetarian","Wholegrain OAT Flakes (68%), Sugar, Raisins (7%), Sunflower Oil, Sultanas, Whole & Sliced ALMONDS (3.5%), Honey (1%), Sunflower Seeds, Natural Flavouring.",416,12,1.5,64,21,11,6.2,0.03,0.012,c,
Miel pops,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Extruded cereals, Honey cereal balls, en:cereals-with-honey",KELLOG'S,330g,,"Nutriscore,Nutriscore Grade B","Farine de maïs (80%), sucre, sirop de glucose, fibre de maïs, miel (2%), extrait de malt d'orge, sel, arôme naturel, niacine, fer, vitamine B6, riboflavine, thiamine, acide folique, vitamine D, vitamine B12, colorant (caroténoïdes).",384,1.5,0.1,85,22,5.2,4.6,0.4,0.16,c,
Weetabix,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals",Weetabix,,Card-box,,"Wholegrain Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.",362,2,0.6,69,4.2,12,10,0.28,0.112,a,
"Muesli bio 36% fruits, noix & graines","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits",Jordans,500 g,"Etui en carton,Sac en plastique à jeter,Sachet en plastique,Étui en carton à recycler","Low or no salt,Low or no sugar,Organic,Certified by Ecocert,EU Organic,Non-EU Agriculture,EU Agriculture,EU/non-EU Agriculture,FR-BIO-01,GB-ORG-05,No added salt,No added sugar,Nutriscore,Nutriscore Grade A,Soil Association Organic,AB Agriculture Biologique,fr:Fsc-c020188","Céréales complètes (64%) (flocons de blé, flocons d'avoine, pétales de blé grillé (13%)), raisins de sultane (16%), raisins secs (11%), copeaux de noix de coco (3,5%), noisettes grillées entières (3%), graines de tournesol (2,5%)",373,8.4,2.8,60.7,18.9,9.3,8.5,0.03,0.012,c,
Corn Flakes,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Extruded cereals, Extruded flakes, Corn flakes",Tesco,500g,"Card-box, Ldpe-packet","Low or no fat, Low fat, Vegetarian, Source-of-iron","Maize, Sugar, Salt, _Barley_ Malt Extract, Iron, Niacin, Pantothenic Acid, Vitamin B6, Riboflavin, Thiamin, Folic Acid, Vitamin D, Vitamin B12.",387,1.2,0.3,85.2,6.1,7.7,2.5,0.59,0.236,c,
Céréales All Bran Kellogg's Fibre Plus,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales pour petit déjeuner riches en fibres,Bâtonnets de son de blé,Céréales pour petit déjeuner à base de son de blé",Kellogg's,500 g,"Plastique,Sachet,Boîte,Carton","Halal, Source of fibre, Halal Food Authority, High fibres, Nutriscore, Nutriscore Grade B, Nicht-für-deutschland, Source-de-fibres-alimentaires, Végétarien, en:no-artificial-colours-or-flavours","Son de _blé_ (87%), Sucre, Arôme de malt d'_orge_, Sel. Vitamines et Minéraux: Vitamines (Niacine, B6, B2, B1, Acide folique, B12) et Fer.",334,3.5,0.7,48,18,14,27,0.95,0.38,c,
Granola Chocolat,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate",Bjorg,350 g,Paquet en plastique,"Organic,EU Organic,Non-EU Agriculture,EU Agriculture,EU/non-EU Agriculture,Nutriscore,Nutriscore Grade A,AB Agriculture Biologique","Flocons d'avoine complètes71%, sucre de canne non raffiné, huile de tournesol, chocolat noir 5% (pâte de cacao, sucre de canne non raffiné, beurre de cacao), riz extrudé au chocolat noir 3% (chocolat noir [pâte de cacao, sucre de canne non raffiné, beurre de cacao], farine complète de riz), poudre de cacao maigre 2,5%, inuline, antioxydant : extrait riche en tocophérols.",420,13,3.1,62,12,10,7.5,0.01,0.004,c,
Cheerios Multigrain,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Extruded cereals",Cheerios Multigrain,390g,"DON'T FORGET TO RECYCLE Please recycle your box and- bag, your bag can be recycled Recycle Don't recycle with carrier bags at large at home supermarkets. C BOX 20 BAG RECYCLE WITH BAGS AT LARGE SUPERMARKET",vegetarian,"chrictall 332,jpg   面 use, on averadl, chelito reales whole sweet enriched with vitamins (c, niacin, pantothenic acid riboflavin 2) 86 falic acid d) calcium and iron # 134275 87819 igredients cereals (oat flour complete 28 4% whole ble 28 4% dorge flour omplète 17 1% whole corn flour 2% whole rice flour 2%) ble starch brown sugar syrup brown partially inverted,          acidity correcting salt (tripotassium phosphate), sunflower hule caramel dyes (e150 c), annatto (e160b) and carotene (e160a) antioxidant tocopherols (e306), vitamins and minerals (vitamin c niacin acıde pantothenic rboflavin (b2) vitamin b6, folic acıde, vitamin d calcium carbonate iron) may contain traces of nuts coriserver in a dry place to be consumed preferably before the end 1,2kge (2 x 600ge) net weight:          nutritional information medium energy per 30 g with 125 ml of half-skimmed lat (% ar) 733kj/174kcal per 100g (% ar) 1598kj /378kcal 3,2g 1,4g 28g 12g 230 3 7g fats including saturated fatty acids carbohydrates 74g 21g 7 8g protein 8g 0,3g 0,43g salt vtamine d 2,8pg (56%) 43mg (54%) 1,1mg (75%) 12mg (75%) tmp (71%) 155g (78%) 5గాg (19%) 055mg (30%) 37mg (23%) 0,36mg (26%) 51,1ug (26%) 15mg 500mg (30% 3 dmg ( 27% vitamin c ribofiavin (82) neone vitamin b6 tolic acid partotheric acid calcium iron eosmg (63%) reference intake pdoukhadultetype,(8400 /2000ar a pornione30g of ie,cheerce te aumns 1% of the ar for reterence intake lne xtiorn of 30 g ar intake of relerence energt",377,4.67,1,69,17.7,10,9.67,0.783,0.313,c,
Grape-Nuts,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales pour petit déjeuner riches en fibres",Post,580 g,"en:card-box, en:mixed plastic-sleeve","Végétarien,Sans sucre ajouté","Wholegrain _Wheat_ Flour (89%), Malted Barley Flour (9%), Salt, Dried Yeast, Iron, Niacin, Zinc, Vitamin B6, Thiamin (B1), Folic Acid.",362,1.8,0.3,68,8.9,11.2,12,1,0.4,b,
Crousti' Avoine Chocolat,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate,Crunchy cereal clusters,Cereal clusters with chocolate",Bjorg,500 g,"Plastic,Bag,fr:Sachet en plastique","Bio,Bio européen,Agriculture non UE,Entreprise B certifiée,DE-ÖKO-001,Agriculture UE/Non UE,Point Vert,Fabriqué en Allemagne,Sans huile de palme,en:Planet-Score,AB Agriculture Biologique,Planet-score-b","Flocons d'avoine* complète 45%, Sucre de canne* brut, Chocolat noir* 10 % (pâte de cacao*, sucre de canne&quot;, beurre de cacao*), Riz extrudé (farine de riz), Farine d'avoine* 8%, Son d'avoine* 5%, Flocons de blé, Huile de tournesol*, Stabilisant : gomme d'acacia*, Flocons de noix de coco*, Sel marin, Antioxydant : extrait riche en tocophérols.",416,13,4.4,60,14,10,9.5,0.1,0.04,c,
Premium Fruit and Nut Muesli,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Fruits et produits dérivés,Céréales pour petit-déjeuner,Fruits,Céréales aux fruits,Mueslis,Mueslis aux fruits",Crownfield,750g,en:hdpe film-packet,,"27% Wholegrain Oat Flakes, 15% Barley Flakes, 12% Raisins (Raisins, Sunflower Oil), 10% Sultanas (Sultanas, Sunflower Oil), 8% Wholegrain Toasted and Malted Wheat Flakes (Wheat, Barley Malt Extract), 5% Sweetened Dried Pineapple (Pineapple, Sugar, Acidity Regulator: Citric Acid, Preservative: Sulphur Dioxide), 4.5% Dried Banana Chips (Banana, Coconut Oil, Sugar, Flavouring), 4% Coconut Chips, 3.5% Chopped Dates (Dates, Rice Flour), 3% Pumpkin Seeds, 2.5% Sweetened Dried Papaya (Papaya, Sugar, Acidity Regulator: Citric Acid, Preservative: Sulphur Dioxide), 2% Roasted Whole Hazelnuts, 2% Whole Almonds, 1.5% Chopped Pecan Nuts. Allergy Advice For allergens including Gluten, see",393,11.6,4.67,60.4,24.7,8.89,6.44,0.0444,0.0178,c,
Nutty Granola,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Mueslis",Dorset Cereals,450g,,en:kashrut-division-of-the-london-beth-din,"Wholegrain _OAT_ flakes (62%), golden syrup (partially inverted sugar syrup) (17%), toasted wholegrain _RYE_ flakes, vegetable oil (rapeseed and sunflower oil in varying proportions), whole & sliced _ALMONDS_ (3.5%), roasted chopped _HAZELNUTS_ (2%), _CASHEW_ pieces (2%), desiccated coconut, natural flavouring.",442,15.6,2,62,13.1,10.2,6.22,5.56e-05,2.22e-05,b,
Corn Flakes 0% azúcares añadidos,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno,Copos,Copos de cereales,en:Extruded cereals,en:Extruded flakes,Copos de maíz tostado",Hacendado,30,,Punto Verde,"Maiz (98%), sal, antioxidante (extracto rico en tocoferoles). Puede contener trazas de gluten, leche, frutos de cascara y soja,",373,1.1,0.4,82,0.9,6.7,4.4,1,0.4,c,
Special K,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, en:mixed-cereal-flakes",Kellogg's,440g,,Kosher,"(EN) CRUNCHY RICE, WHOLEWHEAT AND BARLEY FLAKES FORTIFIED WITH VITAMINS AND IRON. INGREDIENTS: Rice (47%), wholewheat (37%), sugar, barley (5%), malted barley flour, salt, barley malt extract, niacin, iron, riboflavin, thiamin, vitamin B6, folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. May contain gluten from other cereals, milk. Best before: see top. Store in a cool, dry place.",392,1.3,0.3,84,15,8,6,0.84,0.336,c,
Muesli bio chocolat noir,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Mueslis, Mueslis au chocolat",Jordans,450 g,"fr:Etui en carton,fr:Sachet en plastique","Bio, Végétarien, Bio européen, Agriculture non UE, Agriculture UE, Agriculture UE/Non UE, FR-BIO-01, Nutriscore","Céréales Complètes (78%) (Flocons d'Avoine*, Pétales de Blé Grillé*, Flocons de Blé*), Pépites de Chocolat Noir (13%) (Cacao : 48.5% Minimum (Masse de Cacao*, Sucre*, Émulsifiant (Lécithine de Soja*)), Graines de Tournesol* (6%), Epeautre (Blé) Soufflé* (3%).",398,11,3.1,61.1,8.9,9.1,4.1,0.03,0.012,c,
Fiocchi di avena integrali,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Rolled oats, en:extruded-flakes","Crownfield, Fortin Mühlenwerke, Lidl",500,Carta,Crownfield,Fiocchi d'avena,372,7,1.3,58.7,0.7,13.5,10,0.03,0.012,a,
